claim_id,claim_type,v0.1_markdown_lines,v0.1_pdf_page,v0.1_enclosing_section,finding_ids,disposition,v0.2_destination,rationale
K-CLM-0001,section_claim_cluster,26-51,5,1. Why knowledge is foundational to SymK,K-FND-001;K-FND-019,REVISE_V0.2,§2 — Why Knowledge is foundational,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0002,section_claim_cluster,52-110,6,2. The first correction: there is no simple historical definition to inherit,K-FND-022;K-FND-023,RETAIN_V0.1_JUSTIFIED,§3 — Philosophical inquiry,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0003,section_claim_cluster,70-79,6,2.1 The Gettier rupture,K-FND-022;K-FND-023,RETAIN_V0.1_JUSTIFIED,§3 — Philosophical inquiry,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0004,section_claim_cluster,80-95,6,2.2 Families of post-Gettier responses,K-FND-022;K-FND-023,RETAIN_V0.1_JUSTIFIED,§3 — Philosophical inquiry,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0005,section_claim_cluster,96-110,7,2.3 Knowledge may be primitive without being unstructured,K-FND-022;K-FND-023,RETAIN_V0.1_JUSTIFIED,§3 — Philosophical inquiry,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0006,section_claim_cluster,111-158,8,3. Knowledge is not only “knowing that”,K-FND-004,REVISE_V0.2,§4 — Plural Knowledge modes,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0007,section_claim_cluster,115-124,8,3.1 Propositional knowledge: knowing that,K-FND-004,RETAIN_V0.1_JUSTIFIED,§4 — Plural Knowledge modes,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0008,section_claim_cluster,125-140,8,3.2 Practical knowledge: knowing how,K-FND-004,RETAIN_V0.1_JUSTIFIED,§4 — Plural Knowledge modes,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0009,section_claim_cluster,141-146,9,3.3 Knowledge by acquaintance or familiarity,K-FND-004,RETAIN_V0.1_JUSTIFIED,§4 — Plural Knowledge modes,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0010,section_claim_cluster,147-158,9,3.4 A plural foundation,K-FND-004,REVISE_V0.2,§4 — Plural Knowledge modes,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0011,section_claim_cluster,159-202,10,4. Epistemology and knowledge representation ask different questions,K-FND-005;K-FND-006;K-FND-021;K-FND-022,RETAIN_V0.1_JUSTIFIED,§§5–6 — Representation boundary and formalism families,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0012,section_claim_cluster,203-282,11,5. What the major formalisms actually provide,K-FND-005;K-FND-006;K-FND-021;K-FND-022,REVISE_V0.2,§§5–6 — Representation boundary and formalism families,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0013,section_claim_cluster,207-219,11,5.1 Epistemic modal logic,K-FND-005;K-FND-006;K-FND-021;K-FND-022,RETAIN_V0.1_JUSTIFIED,§§5–6 — Representation boundary and formalism families,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0014,section_claim_cluster,220-225,11,5.2 First-order logic and Horn rules,K-FND-005;K-FND-006;K-FND-021;K-FND-022,RETAIN_V0.1_JUSTIFIED,§§5–6 — Representation boundary and formalism families,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0015,section_claim_cluster,226-231,11,5.3 Semantic networks and frames,K-FND-005;K-FND-006;K-FND-021;K-FND-022,RETAIN_V0.1_JUSTIFIED,§§5–6 — Representation boundary and formalism families,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0016,section_claim_cluster,232-237,12,5.4 Description logics and OWL,K-FND-005;K-FND-006;K-FND-021;K-FND-022,RETAIN_V0.1_JUSTIFIED,§§5–6 — Representation boundary and formalism families,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0017,section_claim_cluster,238-250,12,5.5 Ontologies and knowledge graphs,K-FND-005;K-FND-006;K-FND-021;K-FND-022,RETAIN_V0.1_JUSTIFIED,§§5–6 — Representation boundary and formalism families,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0018,section_claim_cluster,251-256,12,5.6 Probabilistic representations,K-FND-005;K-FND-006;K-FND-021;K-FND-022,RETAIN_V0.1_JUSTIFIED,§§5–6 — Representation boundary and formalism families,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0019,section_claim_cluster,257-262,12,5.7 Neural representations,K-FND-005;K-FND-006;K-FND-021;K-FND-022,REVISE_V0.2,§§5–6 — Representation boundary and formalism families,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0020,section_claim_cluster,263-282,13,5.8 Comparative view,K-FND-005;K-FND-006;K-FND-021;K-FND-022,REVISE_V0.2,§§5–6 — Representation boundary and formalism families,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0021,section_claim_cluster,283-344,14,6. The distinction SymK must preserve,K-FND-007;K-FND-008;K-FND-020,REVISE_V0.2,"§7 and §10 — Distinctions, review envelope and lifecycle",Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0022,section_claim_cluster,287-292,14,6.1 Knowledge,K-FND-007;K-FND-008;K-FND-020,REVISE_V0.2,"§7 and §10 — Distinctions, review envelope and lifecycle",Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0023,section_claim_cluster,293-298,14,6.2 Knowledge claim,K-FND-007;K-FND-008;K-FND-020,REVISE_V0.2,"§7 and §10 — Distinctions, review envelope and lifecycle",Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0024,section_claim_cluster,299-316,14,6.3 Knowledge asset,K-FND-007;K-FND-008;K-FND-020,REVISE_V0.2,"§7 and §10 — Distinctions, review envelope and lifecycle",Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0025,section_claim_cluster,317-322,15,6.4 Representation,K-FND-007;K-FND-008;K-FND-020,REVISE_V0.2,"§7 and §10 — Distinctions, review envelope and lifecycle",Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
