finding_id,paper,section_or_field,issue,disposition,correction,result
F-INT-001,Knowledge,front matter,"Review state still said cross-paper work was pending and version/status cues differed",REVISE_V0.2,"Standardized governed Markdown review-draft status, v0.2 review-draft version, EV-162/166 lineage, and pending publication work",APPLIED
F-INT-001,Intelligence,front matter,"Review metadata omitted Stream F completion and used a different version cue",REVISE_V0.2,"Added EV-166 and standardized review-draft status/version",APPLIED
F-INT-001,Education and Training,front matter,"Review status said cross-paper review was pending",REVISE_V0.2,"Added governed status, EV-166, and standardized version cue",APPLIED
F-INT-001,Knowledge Engineering,front matter,"Status emphasized negative boundaries but did not expose Stream F completion",REVISE_V0.2,"Added EV-166 and standardized coordinated review status",APPLIED
F-INT-002,Education and Training,§1,"Layered identity used Engineering of Knowledge System/general-cooperation wording rather than exact DR-017 center",REVISE_V0.2,"Restated historical Human-AI, principal non-exhaustive DIA, and broader responsible Knowledge Engineering layers",APPLIED
F-INT-002,Knowledge Engineering,§1,"Broader layer omitted engineering-discipline/general-framework and heterogeneous forms/Bearers wording",REVISE_V0.2,"Restated the DR-017 layered identity without changing paper voice",APPLIED
F-INT-003,Knowledge,§7.6,"Projection restatement omitted transformations additions omissions and known loss",REVISE_V0.2,"Inserted exact DR-010 Representation/Projection minimum",APPLIED
F-INT-003,Knowledge Engineering,§7,"Projection was phrased as a declared transformation rather than the governed relationship",REVISE_V0.2,"Inserted exact DR-010 Representation/Projection minimum",APPLIED
F-INT-004,Intelligence,§9,"Cooperation restatement was shorter and could admit contribution toward any object without exact mutual-orientation/connection conditions",REVISE_V0.2,"Inserted exact DR-013 Cooperation nucleus and retained Intelligence-specific consequences",APPLIED
F-INT-004,Education and Training,§1,"Cooperation restatement omitted two-or-more and non-coincidence/non-aggregation boundaries",REVISE_V0.2,"Inserted exact DR-013 Cooperation nucleus",APPLIED
F-INT-004,Knowledge Engineering,§11,"Cooperation wording described coordination toward a purpose but omitted exact occurrence conditions",REVISE_V0.2,"Inserted exact DR-013 Cooperation nucleus and thin-occurrence qualifications",APPLIED
F-INT-005,Knowledge,§12,"Authority kinds were called analytical and the twelfth-kind boundary was lower-case/inconsistent",REVISE_V0.2,"Standardized eleven typed Authority kinds and unresolved standing/challenge locus",APPLIED
F-INT-005,Intelligence,§3.7,"Standing boundary did not state the eleven typed Authority kinds",REVISE_V0.2,"Added the accepted count and preserved non-entailments",APPLIED
F-INT-005,Education and Training,§9,"Used eleven settled typed authority kinds and lower-case Authority terminology",REVISE_V0.2,"Standardized exact typed-Authority/locus wording",APPLIED
F-INT-006,Knowledge,§12,"Urgency was tied to material risk/consequence rather than urgent adverse Evidence and omitted the complete no-power boundary",REVISE_V0.2,"Inserted the common Evidence/procedure/urgent-consideration rule",APPLIED
F-INT-006,Intelligence,§11 and counterexamples,"Used urgent Evidence or hazard signal and lower-case authority with a narrower non-effect statement",REVISE_V0.2,"Inserted the common rule and aligned the counterexample",APPLIED
F-INT-006,Education and Training,§9 and §16,"Used paper-specific variants of the competent-procedure and urgency rule",REVISE_V0.2,"Inserted the common rule and aligned the later formative example",APPLIED
F-INT-006,Knowledge Engineering,§6.1,"Added assessments and used a different amendment/revocation and emergency-boundary formulation",REVISE_V0.2,"Inserted the common exact corrective-closure formulation",APPLIED
F-INT-007,Education and Training,§10 and §16,"Consequences could return as Evidence or revise/invalidate premises/status without intervening assessment and procedure",REVISE_V0.2,"Made observations/claims about consequences candidates for Evidence roles and governed change rather than automatic effects",APPLIED
F-INT-008,Intelligence,§17,"Amplification was compressed into a durable multidimensional change claim",REVISE_V0.2,"Restated comparative scoped temporal evidenced relation with identified Bearer baseline contribution and relevant variation",APPLIED
F-INT-009,Knowledge,governance note,"Cross-paper integration remained absent from edition lineage",REVISE_V0.2,"Recorded EV-166 while preserving publication and procedure boundaries",APPLIED
F-INT-009,Intelligence,conclusion and governance note,"Paper said it was ready for later cross-paper integration and denied cross-paper acceptance after integration",REVISE_V0.2,"Recorded analytical completion and retained pending Human/PDF/publication boundaries",APPLIED
F-INT-009,Education and Training,governance note,"Cross-paper integration completion was absent",REVISE_V0.2,"Recorded EV-166 and preserved downstream boundaries",APPLIED
F-INT-009,Knowledge Engineering,governance note,"Cross-paper integration remained listed as future work",REVISE_V0.2,"Recorded EV-166 and left visual publication/Human/publication work pending",APPLIED
