claim_id,source_lines,source_section,claim_type,finding_ids,disposition,v0.2_destination,rationale
E-CLM-0001,28-47,1. Why Education is foundational to SymK,section_claim_cluster,ET-FND-001;ET-FND-002,REVISE_V0.2,Abstract; §1; §10; §17,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0002,48-91,"2. The first distinction: learning, instruction, Training, Education, and socialization",section_claim_cluster,ET-FND-003,REVISE_V0.2,§2,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0003,52-57,2.1 Learning,section_claim_cluster,ET-FND-003,RETAIN_V0.1_JUSTIFIED,§2,"Substantively sound inquiry, distinction, risk, review question, or boundary retained with accepted terminology and explicit scope."
E-CLM-0004,58-61,2.2 Instruction,section_claim_cluster,ET-FND-003,RETAIN_V0.1_JUSTIFIED,§2,"Substantively sound inquiry, distinction, risk, review question, or boundary retained with accepted terminology and explicit scope."
E-CLM-0005,62-67,2.3 Training,section_claim_cluster,ET-FND-003,REVISE_V0.2,§2,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0006,68-73,2.4 Education,section_claim_cluster,ET-FND-003,REVISE_V0.2,§2,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0007,74-79,2.5 Socialization,section_claim_cluster,ET-FND-003,RETAIN_V0.1_JUSTIFIED,§2,"Substantively sound inquiry, distinction, risk, review question, or boundary retained with accepted terminology and explicit scope."
E-CLM-0008,80-91,2.6 Comparative view,section_claim_cluster,ET-FND-003,REVISE_V0.2,§2,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0009,92-113,3. The correction: Education needs Training,section_claim_cluster,ET-FND-004,REVISE_V0.2,§4,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0010,114-139,4. Education as formation for a shared world,section_claim_cluster,ET-FND-005,RETAIN_V0.1_JUSTIFIED,§5,"Substantively sound inquiry, distinction, risk, review question, or boundary retained with accepted terminology and explicit scope."
E-CLM-0011,120-125,4.1 Integration is not assimilation,section_claim_cluster,ET-FND-005,RETAIN_V0.1_JUSTIFIED,§5,"Substantively sound inquiry, distinction, risk, review question, or boundary retained with accepted terminology and explicit scope."
E-CLM-0012,126-131,4.2 Manners are infrastructural,section_claim_cluster,ET-FND-005,RETAIN_V0.1_JUSTIFIED,§5,"Substantively sound inquiry, distinction, risk, review question, or boundary retained with accepted terminology and explicit scope."
E-CLM-0013,132-139,4.3 The environment also educates,section_claim_cluster,ET-FND-005,REVISE_V0.2,§5,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0014,140-179,5. When Training and Education occur,section_claim_cluster,ET-FND-006,REVISE_V0.2,§3; §6,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0015,144-156,5.1 Training occurs when,section_claim_cluster,ET-FND-006,REVISE_V0.2,§3; §6,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0016,157-171,5.2 Education occurs when,section_claim_cluster,ET-FND-006,REVISE_V0.2,§3; §6,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0017,172-179,5.3 The same episode may be both,section_claim_cluster,ET-FND-006,REVISE_V0.2,§3; §6,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0018,180-209,6. The Axiom of Cooperative Formation,section_claim_cluster,ET-FND-007,REVISE_V0.2,§4; §11,"Reconstructed to remove universal necessity, concept, level, effect, authority, status, package, value-chain, or accepted-baseline ambiguity."
E-CLM-0019,188-191,"6.1 Cooperation is achieved, not presumed",section_claim_cluster,ET-FND-007,RETAIN_V0.1_JUSTIFIED,§4; §11,"Substantively sound inquiry, distinction, risk, review question, or boundary retained with accepted terminology and explicit scope."
