reference_id,v0.1_reference,inline_use,verification_source,result,v0.2_action,notes
K-REF-001,"Baader et al. (2003), The Description Logic Handbook","description logics and formalism background",https://books.google.com/books?id=riSeOKw5I6sC,VERIFIED,RETAIN_NORMALIZE,"Title, editors, publisher and year verified; punctuation normalized"
K-REF-002,"Brachman and Levesque (2004), Knowledge Representation and Reasoning","epistemology/representation boundary and KR background",https://booksite.elsevier.com/samplechapters/9781558609327/9781558609327.PDF,VERIFIED,RETAIN,"Authors, title, publisher and 2004 edition verified"
K-REF-003,"Pavese (2022), Knowledge How","Ryle and knowledge-how debate",https://plato.stanford.edu/archives/fall2022/entries/knowledge-how/,VERIFIED,RETAIN,"Archive edition and relevant discussion verified"
K-REF-004,"Hasan and Fumerton (2024 archive), Knowledge by Acquaintance vs. Description","Russell and acquaintance",https://plato.stanford.edu/archives/sum2024/entries/knowledge-acquaindescrip/,VERIFIED,RETAIN_QUALIFY,"Summer 2024 archive verified; page notes substantive revision in 2019"
K-REF-005,"Gettier (1963), Is Justified True Belief Knowledge?","two counterexamples and JTB insufficiency",https://doi.org/10.1093/analys/23.6.121,VERIFIED,RETAIN_NORMALIZE,"Author, title, Analysis 23(6), 121–123 and DOI verified"
K-REF-006,"Rendsvig, Symons, and Wang (2025 archive), Epistemic Logic","S5, introspection and logical omniscience",https://plato.stanford.edu/archives/sum2025/entries/logic-epistemic/,VERIFIED,RETAIN,"Archive edition and relevant sections verified"
K-REF-007,"Hogan et al. (2021), Knowledge Graphs","knowledge-graph models, schema, identity, context, deduction and induction",https://arxiv.org/abs/2003.02320,VERIFIED,RETAIN,"ACM Computing Surveys 54(4), article 71 and DOI 10.1145/3447772 verified through open manuscript metadata"
K-REF-008,"Ichikawa and Steup (2026), The Analysis of Knowledge","JTB history, Gettier families and knowledge-first alternatives",https://plato.stanford.edu/archives/sum2026/entries/knowledge-analysis/,VERIFIED,RETAIN,"Summer 2026 edition and 21 January 2026 substantive revision verified"
K-REF-009,"Minsky (1974/1975), A Framework for Representing Knowledge","frames, slots, defaults and expectations",https://www.mit.edu/~dxh/marvin/web.media.mit.edu/~minsky/papers/Frames/frames.html,VERIFIED,RETAIN,"MIT AI Memo 306 June 1974 and 1975 reprint verified"
K-REF-010,"Petroni et al. (2019), Language Models as Knowledge Bases?","pretrained model relational-fact recall",https://aclanthology.org/D19-1250/,VERIFIED,RETAIN_QUALIFY,"ACL metadata, 2463–2473 and DOI verified; v0.2 limits the claim to the 2019 study"
K-REF-011,"Quillian (1968), Semantic Networks","early semantic-memory network work",https://mitpress.mit.edu/9780262130448/semantic-information-processing/,METADATA_CORRECTION,REVISE_V0.2,"Correct source chapter title is Semantic Memory; v0.2 adds pages 227–270"
K-REF-012,"Richardson and Domingos (2006), Markov Logic Networks","weighted first-order formulas and probabilistic graphical models",https://doi.org/10.1007/s10994-006-5833-1,VERIFIED,RETAIN,"Authors, title, Machine Learning 62, 107–136 and DOI verified"
K-REF-013,"Russell (1910–11), Knowledge by Acquaintance and Knowledge by Description","direct-acquaintance distinction",https://doi.org/10.1093/aristotelian/11.1.108,VERIFIED,RETAIN_NORMALIZE,"Volume 11, pages 108–128; journal records issue as 1911 while historical citation uses 1910–11"
K-REF-014,"Russell (1912), The Problems of Philosophy","acquaintance and description",https://www.gutenberg.org/ebooks/5827,VERIFIED,RETAIN_LINK,"Book and relevant chapter verified; stable public-domain link added"
K-REF-015,"Ryle (1949), The Concept of Mind","knowledge-how/knowledge-that distinction",https://plato.stanford.edu/entries/ryle/,VERIFIED,RETAIN,"First publication by Hutchinson in 1949 and relevant thesis verified"
K-REF-016,"Williamson (2000), Knowledge and Its Limits","knowledge-first program",https://academic.oup.com/book/12538/chapter-abstract/162294119,VERIFIED,RETAIN,"OUP copyright page verifies first publication in 2000"
K-REF-017,"W3C (2012), OWL 2 Web Ontology Language Document Overview","OWL 2 semantics, SROIQ relation and profiles",https://www.w3.org/TR/owl2-overview/,VERIFIED,RETAIN,"W3C Recommendation 11 December 2012 verified"
K-REF-018,"W3C (2014), RDF 1.1 Concepts and Abstract Syntax","RDF graphs and triples",https://www.w3.org/TR/rdf11-concepts/,VERIFIED,RETAIN,"W3C Recommendation and graph/triple account verified"
