claim_id,source_lines,source_section,claim_type,finding_ids,disposition,v0.2_destination,rationale
I-CLM-0001,28-63,1. Why Intelligence is foundational to SymK,section_claim_cluster,I-FND-001;I-FND-023,REVISE_V0.2,§1.1; §16,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0002,64-119,"2. The Copernican correction: Human Intelligence is an instance, not the center",section_claim_cluster,I-FND-002,REVISE_V0.2,§2,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0003,76-87,2.1 Human reference remains useful,section_claim_cluster,I-FND-002,RETAIN_V0.1_JUSTIFIED,§2,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0004,88-91,2.2 Non-human biological Intelligence is not deficient humanity,section_claim_cluster,I-FND-002,RETAIN_V0.1_JUSTIFIED,§2,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0005,92-97,2.3 Artificial Intelligence is not simulated humanity,section_claim_cluster,I-FND-002,RETAIN_V0.1_JUSTIFIED,§2,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0006,98-103,2.4 Social Intelligence has two meanings that must not be confused,section_claim_cluster,I-FND-003,REVISE_V0.2,§2.3,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0007,104-119,2.5 Decentering is not equivalence,section_claim_cluster,I-FND-002,RETAIN_V0.1_JUSTIFIED,§2,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0008,120-218,3. The levels SymK must keep distinct,section_claim_cluster,I-FND-004;I-FND-005;I-FND-006;I-FND-007,REVISE_V0.2,§3,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0009,150-160,3.1 Supporting substrate,section_claim_cluster,I-FND-004;I-FND-005;I-FND-006;I-FND-007,REVISE_V0.2,§3,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0010,161-175,3.2 Organized system,section_claim_cluster,I-FND-004;I-FND-005;I-FND-006;I-FND-007,REVISE_V0.2,§3,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0011,176-179,3.3 Intelligence profile,section_claim_cluster,I-FND-004;I-FND-005;I-FND-006;I-FND-007,REVISE_V0.2,§3,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0012,180-193,3.4 Manifested performance,section_claim_cluster,I-FND-004;I-FND-005;I-FND-006;I-FND-007,RETAIN_V0.1_JUSTIFIED,§3,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0013,194-207,3.5 Intelligence attribution,section_claim_cluster,I-FND-004;I-FND-005;I-FND-006;I-FND-007,REVISE_V0.2,§3,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0014,208-218,3.6 Two principles of dependence,section_claim_cluster,I-FND-004;I-FND-005;I-FND-006;I-FND-007,RETAIN_V0.1_JUSTIFIED,§3,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0015,219-275,4. Substrate independence without substrate indifference,section_claim_cluster,I-FND-008,RETAIN_V0.1_JUSTIFIED,§4,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0016,227-237,4.1 Multiple realizability is a research commitment,section_claim_cluster,I-FND-008,RETAIN_V0.1_JUSTIFIED,§4,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0017,238-255,4.2 Substrates shape flavors,section_claim_cluster,I-FND-008,REVISE_V0.2,§4,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0018,256-261,4.3 Functional similarity does not imply experiential identity,section_claim_cluster,I-FND-008,RETAIN_V0.1_JUSTIFIED,§4,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0019,262-275,4.4 A higher level is not an immaterial level,section_claim_cluster,I-FND-008,RETAIN_V0.1_JUSTIFIED,§4,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0020,276-369,5. What the major traditions actually provide,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0021,280-289,5.1 Psychometric structure,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0022,290-297,5.2 Plural ability theories,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0023,298-309,5.3 Development and adaptation,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0024,310-317,5.4 Rational agency,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0025,318-323,5.5 General goal achievement,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0026,324-329,5.6 Skill-acquisition efficiency,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0027,330-335,5.7 Embodied and enactive approaches,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0028,336-341,5.8 Extended and distributed cognition,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0029,342-347,5.9 Collective Intelligence,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0030,348-351,5.10 Emerging formal definitions,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0031,352-369,5.11 Comparative view,section_claim_cluster,I-FND-009;I-FND-024,RETAIN_V0.1_JUSTIFIED,§5,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0032,370-436,6. Intelligence manifests in different flavors,section_claim_cluster,I-FND-010,REVISE_V0.2,§7,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0033,374-396,6.1 Capability dimensions,section_claim_cluster,I-FND-010,REVISE_V0.2,§7,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0034,397-406,"6.2 Breadth, depth, and transfer",section_claim_cluster,I-FND-010,RETAIN_V0.1_JUSTIFIED,§7,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0035,407-419,"6.3 Individual, collective, and hybrid flavors",section_claim_cluster,I-FND-010,REVISE_V0.2,§7,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0036,420-436,"6.4 A property space, not one natural ladder",section_claim_cluster,I-FND-010,REVISE_V0.2,§7,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0037,437-500,7. The distinctions SymK must preserve,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0038,439-451,7.1 Intelligence and Knowledge,section_claim_cluster,I-FND-012;I-FND-013,REVISE_V0.2,§8,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0039,452-455,7.2 Intelligence and cognition,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0040,456-461,"7.3 Intelligence, competence, and skill",section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0041,462-470,7.4 Intelligence and performance,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0042,471-474,7.5 Intelligence and rationality,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0043,475-478,7.6 Intelligence and agency,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0044,479-482,7.7 Intelligence and autonomy,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0045,483-486,7.8 Intelligence and consciousness,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0046,487-490,7.9 Intelligence and understanding,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0047,491-494,7.10 Intelligence and wisdom,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0048,495-500,7.11 Intelligence and moral status,section_claim_cluster,I-FND-012;I-FND-013,RETAIN_V0.1_JUSTIFIED,§8,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0049,501-556,8. A working definition for SymK,section_claim_cluster,I-FND-011,REVISE_V0.2,§6,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0050,509-512,Substrate-realized,section_claim_cluster,I-FND-011,RETAIN_V0.1_JUSTIFIED,§6,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0051,513-516,Capacity,section_claim_cluster,I-FND-011,RETAIN_V0.1_JUSTIFIED,§6,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0052,517-520,Organized system,section_claim_cluster,I-FND-011,RETAIN_V0.1_JUSTIFIED,§6,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0053,521-524,Context-sensitive interpretation or effective action,section_claim_cluster,I-FND-011,RETAIN_V0.1_JUSTIFIED,§6,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0054,525-528,Across a relevant range,section_claim_cluster,I-FND-011,RETAIN_V0.1_JUSTIFIED,§6,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0055,529-532,"Integrating structure, information, experience, and Knowledge",section_claim_cluster,I-FND-011,REVISE_V0.2,§6,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0056,533-536,Some capacity to adapt beyond prior cases,section_claim_cluster,I-FND-011,REVISE_V0.2,§6,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0057,537-542,8.1 Operational corollary,section_claim_cluster,I-FND-004;I-FND-011,RETAIN_V0.1_JUSTIFIED,§3,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0058,543-548,8.2 The non-privilege corollary,section_claim_cluster,I-FND-004;I-FND-011,RETAIN_V0.1_JUSTIFIED,§3,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0059,549-556,8.3 Interpreting the SymK motto,section_claim_cluster,I-FND-001;I-FND-023,REVISE_V0.2,§1.1; §16,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0060,557-630,9. The proposed SymK Intelligence object,section_claim_cluster,I-FND-014,REVISE_V0.2,§11,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0061,631-708,10. Candidate foundational commitments,section_claim_cluster,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0062,635-640,I-01 — Intelligence and substrate are distinct,candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0063,641-646,I-02 — Intelligence is always realized,candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0064,647-652,I-03 — Attribution belongs to the organized-system level,candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0065,653-658,"I-04 — Human Intelligence is a manifestation, not the universal template",candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0066,659-664,I-05 — Origin confers neither capability nor privilege,candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0067,665-670,"I-06 — Performance is evidence of Intelligence, not its identity",candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0068,671-676,"I-07 — Intelligence is scoped, graded, and profiled",candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0069,677-682,I-08 — Plural manifestations do not imply isolated essences,candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0070,683-688,I-09 — Knowledge and Intelligence are distinct but reciprocal,candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0071,689-694,"I-10 — Intelligence does not entail rationality, consciousness, wisdom, or moral worth",candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0072,695-700,I-11 — Collective Intelligence requires more than aggregation,candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0073,701-708,I-12 — Intelligence attribution must remain challengeable,candidate_commitment,I-FND-015,REVISE_V0.2,§12,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0074,709-761,11. Implications for cooperation among Intelligences,section_claim_cluster,I-FND-016;I-FND-018,REVISE_V0.2,§3.7; §8.7,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0075,711-726,"11.1 Difference is a resource, not merely a deficit",section_claim_cluster,I-FND-016;I-FND-018,RETAIN_V0.1_JUSTIFIED,§3.7; §8.7,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0076,727-739,11.2 Capability does not determine authority,section_claim_cluster,I-FND-016;I-FND-018,REVISE_V0.2,§3.7; §8.7,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0077,740-753,11.3 Cooperation may create a new Intelligence level,section_claim_cluster,I-FND-017;I-FND-021;I-FND-027,REVISE_V0.2,§9,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0078,754-761,11.4 Cooperation requires translation across manifestations,section_claim_cluster,I-FND-016;I-FND-018,RETAIN_V0.1_JUSTIFIED,§3.7; §8.7,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0079,762-833,12. Development requirements derived from the foundation,development_requirement,I-FND-018;I-FND-020,REVISE_V0.2,§11; §14,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0080,764-774,12.1 Represent the levels explicitly,development_requirement,I-FND-018;I-FND-020,REVISE_V0.2,§11; §14,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0081,775-778,12.2 Use profiles before scores,development_requirement,I-FND-018;I-FND-020,RETAIN_V0.1_JUSTIFIED,§11; §14,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0082,779-789,12.3 Make scope and novelty first-class,development_requirement,I-FND-018;I-FND-020,RETAIN_V0.1_JUSTIFIED,§11; §14,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0083,790-800,12.4 Disclose priors and resources,development_requirement,I-FND-018;I-FND-020,RETAIN_V0.1_JUSTIFIED,§11; §14,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0084,801-804,12.5 Preserve developmental history,development_requirement,I-FND-018;I-FND-020,RETAIN_V0.1_JUSTIFIED,§11; §14,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0085,805-808,"12.6 Support individual, collective, distributed, and hybrid bearers",development_requirement,I-FND-018;I-FND-020,REVISE_V0.2,§11; §14,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0086,809-819,12.7 Record causal and counterfactual evidence,development_requirement,I-FND-018;I-FND-020,RETAIN_V0.1_JUSTIFIED,§11; §14,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0087,820-823,12.8 Prevent anthropomorphic leakage,development_requirement,I-FND-018;I-FND-020,RETAIN_V0.1_JUSTIFIED,§11; §14,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0088,824-827,12.9 Separate attribution from authorization,development_requirement,I-FND-018;I-FND-020,RETAIN_V0.1_JUSTIFIED,§11; §14,Substantively sound historical/literature/boundary claim retained with accepted terminology and explicit scope.
I-CLM-0089,828-833,12.10 Preserve challenge and revision,development_requirement,I-FND-018;I-FND-020,REVISE_V0.2,§11; §14,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0090,834-885,13. Open foundational questions,open_question,I-FND-022,REVISE_V0.2,§15,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0091,836-839,13.1 What is the minimum condition for Intelligence?,open_question,I-FND-022,REVISE_V0.2,§15,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0092,840-843,13.2 Is learning necessary?,open_question,I-FND-022,REVISE_V0.2,§15,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0093,844-847,13.3 Must an Intelligence have objectives?,open_question,I-FND-022,REVISE_V0.2,§15,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
I-CLM-0094,848-851,13.4 How is the bearer bounded?,open_question,I-FND-022,REVISE_V0.2,§15,"Reconstructed to remove status, definition, Bearer, profile, authority, package, value-chain, or accepted-baseline ambiguity."
