claim_id,source_lines,source_section,claim_type,finding_ids,disposition,v0.2_destination,rationale
KE-CLM-0001,30-58,1. Why Knowledge Engineering is constitutional to SymK,section_claim_cluster,KE-FND-001;KE-FND-002,REVISE_V0.2,Abstract; §1; §17,"Reconstructed to remove accepted-baseline, identity, object, lifecycle, Representation, Bearer, Authority, Education, value, gate, or constitutional-force ambiguity."
KE-CLM-0002,59-85,2. The inherited definition and what it gets right,section_claim_cluster,KE-FND-002,REVISE_V0.2,§2–§3,"Reconstructed to remove accepted-baseline, identity, object, lifecycle, Representation, Bearer, Authority, Education, value, gate, or constitutional-force ambiguity."
KE-CLM-0003,86-127,3. Historical development: from expert systems to model-based engineering,section_claim_cluster,KE-FND-003,RETAIN_V0.1_JUSTIFIED,§3,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0004,88-93,3.1 The expert-systems origin,section_claim_cluster,KE-FND-003,RETAIN_V0.1_JUSTIFIED,§3,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0005,94-99,3.2 The acquisition bottleneck,section_claim_cluster,KE-FND-003,RETAIN_V0.1_JUSTIFIED,§3,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0006,100-107,3.3 From transfer to modeling,section_claim_cluster,KE-FND-003,RETAIN_V0.1_JUSTIFIED,§3,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0007,108-113,3.4 Ontologies and shared conceptualization,section_claim_cluster,KE-FND-003,RETAIN_V0.1_JUSTIFIED,§3,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0008,114-119,3.5 Knowledge graphs and integration,section_claim_cluster,KE-FND-003,RETAIN_V0.1_JUSTIFIED,§3,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0009,120-127,3.6 Machine learning and generative systems,section_claim_cluster,KE-FND-003,RETAIN_V0.1_JUSTIFIED,§3,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0010,128-180,4. The object problem: what can actually be engineered?,section_claim_cluster,KE-FND-004,REVISE_V0.2,§4; §9,"Reconstructed to remove accepted-baseline, identity, object, lifecycle, Representation, Bearer, Authority, Education, value, gate, or constitutional-force ambiguity."
KE-CLM-0011,181-198,5. The central correction: Knowledge Engineering engineers epistemic conditions,section_claim_cluster,KE-FND-005,REVISE_V0.2,Abstract; §2; §17,"Reconstructed to remove accepted-baseline, identity, object, lifecycle, Representation, Bearer, Authority, Education, value, gate, or constitutional-force ambiguity."
KE-CLM-0012,199-230,"6. Acquisition is construction, not extraction",section_claim_cluster,KE-FND-006,RETAIN_V0.1_JUSTIFIED,§5,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0013,201-206,"6.1 Experts are participants, not containers",section_claim_cluster,KE-FND-006,RETAIN_V0.1_JUSTIFIED,§5,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0014,207-212,6.2 Tacit Knowledge is not merely undocumented text,section_claim_cluster,KE-FND-006,RETAIN_V0.1_JUSTIFIED,§5,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
KE-CLM-0015,213-216,6.3 Documents are testimony and artifacts,section_claim_cluster,KE-FND-006,RETAIN_V0.1_JUSTIFIED,§5,"Substantively sound history, inquiry, distinction, risk, requirement, or boundary retained with exact accepted terminology and explicit scope."
