subject,controlling_lineage,Knowledge_v0.2,Intelligence_v0.2,Education_Training_v0.2,Knowledge_Engineering_v0.2,result,finding
Review status and authority,"2.1.10 opening; DR-018","governed review draft; EV-162/166","governed review draft; EV-163/166","governed review draft; EV-164/166","governed review draft; EV-165/166",ALIGNED,F-INT-001
Layered SymK identity,DR-017/018,"historical Human-AI; principal non-exhaustive DIA; broader responsible KE","same three layers; governed undertaking","same three layers after correction","same three layers after correction",ALIGNED,F-INT-002
Seventeen Foundational anchors,DR-018,"paper-local Knowledge center; no conflicting inventory","paper-local Intelligence center; no conflicting inventory","paper-local Formation center; no conflicting inventory","complete seventeen-anchor list",ALIGNED,NONE
Knowledge definition,DR-011/018,"exact accepted definition","references without redefinition","references without redefinition","references without redefinition",ALIGNED_HOME_PAPER,NONE
Intelligence definition,DR-011/018,"references without redefinition","exact accepted definition","references without redefinition","references without redefinition",ALIGNED_HOME_PAPER,NONE
Knowledge Engineering definition,DR-012/018,"exact bounded summary","references exact epistemic-condition boundary","references bounded role","exact accepted definition",ALIGNED_HOME_PAPER,NONE
Cooperation definition,DR-013/018,"thin-process characterization consistent with exact nucleus","exact nucleus after correction","exact nucleus after correction","exact nucleus after correction",ALIGNED,F-INT-004
Formation definition,DR-013/018,"recursive-lifecycle reference only","non-entailment reference only","exact accepted definition","reference without redefinition",ALIGNED_HOME_PAPER,NONE
Learning Training Education,DR-013/018,"distinct lifecycle/formative references","non-entailment boundaries","exact accepted definitions","distinct supporting concepts; no universal necessity",ALIGNED,NONE
Lowest adequate Bearer,DR-011–015/018,"Knowledge attribution","Intelligence attribution","Formation and system-Learning attribution","cross-object attribution",ALIGNED,NONE
Member component whole transfer,DR-011–015/018,"prohibited","prohibited","prohibited","prohibited",ALIGNED,NONE
Representation,DR-010/012/018,"exact minimum definition","Projection/profile use consistent","Three-View use consistent","exact minimum definition after correction",ALIGNED,F-INT-003
Projection,DR-010/012/018,"exact governed relationship after correction","declared profile/score transformations","declared cross-View loss","exact governed relationship after correction",ALIGNED,F-INT-003
Human Scientific Engineering Views,DR-012/018,"all three; no sovereignty","all three; attribution envelope","all three; formative envelope","all three; no sovereignty",ALIGNED,NONE
Ground Evidence Provenance,DR-012/018,"typed and non-substitutable","Evidence for attribution","Evidence for formative claims","typed role-relative distinctions",ALIGNED,NONE
Evidence versus competent procedure,"2.1.9E corrective closure; DR-018","standard rule after correction","standard rule after correction","standard rule after correction","standard rule after correction",ALIGNED,F-INT-006
Urgent adverse Evidence,"2.1.9E corrective closure; DR-018","urgent consideration only","urgent consideration only","urgent consideration only","urgent consideration only",ALIGNED,F-INT-006
Authority kinds,"DR-014/018; 2.1.9E corrective closure","eleven typed kinds; none allocated","eleven typed kinds; none allocated","eleven typed kinds; none allocated","eleven typed kinds; none allocated",ALIGNED,F-INT-005
Affected-subject standing challenge,"DR-014/018; 2.1.9E corrective closure","unresolved locus distinct from kinds","unresolved locus distinct from kinds","unresolved locus distinct from kinds","unresolved locus distinct from kinds",ALIGNED,F-INT-005
Responsibility,DR-014/018,"distinct from contribution/use","distinct from capability/origin","distinct from Formation/Authority","typed role; no automatic allocation",ALIGNED,NONE
Amplification,DR-015/018,"no redefinition","exact comparative relation summary after correction","no redefinition","no redefinition",ALIGNED,F-INT-008
Domain Intelligence Amplifier,DR-015/017/018,"principal non-exhaustive","exact seven-condition test","principal non-exhaustive orientation","principal non-exhaustive orientation",ALIGNED,NONE
Governed knowledge undertaking,DR-017/018,"non-container organizing relation","non-reifying analytical expansion","bounded shared-undertaking use","non-reifying analytical center",ALIGNED,NONE
Question Reasoning Answer,DR-016/018,"branching lifecycle roles","branching value relation","branching formative relation","branching epistemic lifecycle",ALIGNED,NONE
Value,DR-016/018,"plural and non-automatic","separate from capability and outcome","scoped claims; no metric settles","separate from result and consequence",ALIGNED,NONE
Consequence return,DR-016/018,"observation challenge and recursive return","return to review without automatic promotion","observation/claim assessed before Evidence or revision after correction","observation/claim assessed before Evidence",ALIGNED,F-INT-007
Candidate commitments and axioms,DR-018/2.1.10,"explanatory obligations only","explanatory obligations only","historical axiom only; explanatory obligations","explanatory obligations only",ALIGNED,NONE
Package schema formalism,DR-010/012/018,"non-container envelope","non-container envelope","non-container envelope","non-container envelope",ALIGNED,NONE
v0.1 preservation and publication boundary,2.1.10,"v0.1 immutable; no PDF acceptance","v0.1/GH immutable; no PDF acceptance","v0.1 immutable; no PDF acceptance","v0.1 immutable; no PDF acceptance",ALIGNED,F-INT-001
