source,identifier,verification_authority,result,v0.2_action
"Angele, Fensel, Landes, and Studer (1998)",10.1023/A:1008653328901,"Springer DOI; author manuscript/author records","Four authors, title, Automated Software Engineering 5(4), pages 389–418, year, and MIKE model-based/incremental scope verified",RETAIN_QUALIFIED
"Buchanan and Shortliffe, eds. (1984)",Columbia open MYCIN archive,"Columbia University biomedical-informatics archive","Editors, title, Addison-Wesley publication, and MYCIN expert-system case corpus verified",RETAIN_QUALIFIED
Feigenbaum (1977),IJCAI-77 archival PDF,"International Joint Conferences on Artificial Intelligence proceedings","Author, title, proceedings lineage, and Knowledge Engineering historical framing verified",RETAIN_QUALIFIED
Forsythe (1993),10.1177/0306312793023003002,"SAGE/DOI publisher record","Author, title, Social Studies of Science 23(3), pages 445–477, and ethnographic construction scope verified",RETAIN_QUALIFIED
Gruber (1993),10.1006/knac.1993.1008,"Elsevier/DOI and bibliographic records","Author, title, Knowledge Acquisition 5(2), pages 199–220, and explicit-conceptualization scope verified",RETAIN_QUALIFIED
Hogan et al. (2021),arXiv:2003.02320,"Author manuscript and ACM publication metadata","Title, principal authorship, ACM Computing Surveys 54(4), Article 71, and Knowledge-graph survey scope verified",RETAIN_QUALIFIED
Newell (1982),10.1016/0004-3702(82)90012-1,"Elsevier/ScienceDirect publisher record","Author, title, Artificial Intelligence 18(1), pages 87–127, and Knowledge-level scope verified",RETAIN_QUALIFIED
Nonaka (1994),10.1287/orsc.5.1.14,"INFORMS/DOI and Oxford bibliographic records","Author, title, Organization Science 5(1), pages 14–37, and organizational-knowledge-creation theory scope verified",RETAIN_QUALIFIED
Polanyi (1966),OCLC 374908,"WorldCat first-edition record; University of Chicago Press reissue record","Title and 1966 first edition verified as Doubleday rather than University of Chicago Press; v0.1 publisher attribution is edition-inconsistent",CORRECT_V0.2_AND_RECORD_V0.1_BIBLIOGRAPHIC_ERRATUM
Schreiber et al. (2000),ISBN 9780262193009,"MIT Press publisher record","Seven authors, full title, MIT Press publication, year, and CommonKADS methodology scope verified",RETAIN_QUALIFIED
Shadbolt and Smart (2015),University of Southampton ePrint 359638,"University of Southampton institutional record/prepublication text","Authors, title, editors, Evaluation of Human Work fourth edition, CRC Press, pages 163–200, and elicitation-method scope verified",RETAIN_QUALIFIED
"Studer, Benjamins, and Fensel (1998)",10.1016/S0169-023X(97)00056-6,"Elsevier/DOI and Springer bibliographic records","Authors, title, Data & Knowledge Engineering 25(1–2), pages 161–197, and modeling-view scope verified",RETAIN_QUALIFIED
W3C (2012),https://www.w3.org/TR/owl2-overview/,"W3C Recommendation","Title, second-edition Recommendation status, date, and OWL 2 overview scope verified",RETAIN_QUALIFIED
"Wielinga, Schreiber, and Breuker (1992)",10.1016/1042-8143(92)90013-Q,"Author-hosted paper; DBLP/DOI bibliographic records","Authors, title, Knowledge Acquisition 4(1), pages 5–53, and KADS modeling scope verified",RETAIN_QUALIFIED
