paper,item_type,markdown_line_start,markdown_line_end_or_pdf_page_count,pdf_page,enclosing_section,item,markdown_source,pdf_projection
Knowledge,reference_entry,718,718,28,References,"Baader, F., Calvanese, D., McGuinness, D. L., Nardi, D., and Patel-Schneider, P. F., eds. (2003). The Description Logic Handbook: Theory, Implementation and Applications. Cambridge University Press. [Publisher record](https://books.google.com/books?id=riSeOKw5I6sC).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,720,720,28,References,"Brachman, R. J., and Levesque, H. J. (2004). Knowledge Representation and Reasoning. Morgan Kaufmann. [Publisher sample chapter](https://booksite.elsevier.com/samplechapters/9781558609327/9781558609327.PDF).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,722,722,28,References,"Pavese, C. (2022). “Knowledge How.” Stanford Encyclopedia of Philosophy, Fall 2022 edition. [Stable entry](https://plato.stanford.edu/archives/fall2022/entries/knowledge-how/).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,724,724,28,References,"Hasan, A., and Fumerton, R. (2024). “Knowledge by Acquaintance vs. Description.” Stanford Encyclopedia of Philosophy, Summer 2024 edition. [Stable entry](https://plato.stanford.edu/archives/sum2024/entries/knowledge-acquaindescrip/).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,726,726,28,References,"Gettier, E. L. (1963). “Is Justified True Belief Knowledge?” Analysis, 23(6), 121–123. [DOI and journal record](https://academic.oup.com/analysis/article-abstract/23/6/121/109949).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,728,728,28,References,"Rendsvig, R., Symons, J., and Wang, Y. (2025). “Epistemic Logic.” Stanford Encyclopedia of Philosophy, Summer 2025 edition. [Stable entry](https://plato.stanford.edu/archives/sum2025/entries/logic-epistemic/).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,730,730,28,References,"Hogan, A., Blomqvist, E., Cochez, M., et al. (2021). “Knowledge Graphs.” ACM Computing Surveys, 54(4), Article 71. [DOI](https://doi.org/10.1145/3447772); [open manuscript](https://arxiv.org/abs/2003.02320).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,732,732,28,References,"Ichikawa, J., and Steup, M. (2026). “The Analysis of Knowledge.” Stanford Encyclopedia of Philosophy, Summer 2026 edition. [Stable entry](https://plato.stanford.edu/archives/sum2026/entries/knowledge-analysis/).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,734,734,28,References,"Minsky, M. (1974/1975). “A Framework for Representing Knowledge.” MIT-AI Laboratory Memo 306; reprinted in The Psychology of Computer Vision. [MIT text](https://www.mit.edu/~dxh/marvin/web.media.mit.edu/~minsky/papers/Frames/frames.html).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,736,736,28,References,"Petroni, F., Rocktäschel, T., Riedel, S., Lewis, P., Bakhtin, A., Wu, Y., and Miller, A. (2019). “Language Models as Knowledge Bases?” In Proceedings of EMNLP-IJCNLP 2019, 2463–2473. [ACL Anthology](https://aclanthology.org/D19-1250/). DOI: [10.18653/v1/D19-1250](https://doi.org/10.18653/v1/D19-1250).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,738,738,28,References,"Quillian, M. R. (1968). “Semantic Networks.” In M. Minsky, ed., Semantic Information Processing. MIT Press. [Bibliographic record](https://philpapers.org/rec/QUISN).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,740,740,28,References,"Richardson, M., and Domingos, P. (2006). “Markov Logic Networks.” Machine Learning, 62, 107–136. [DOI](https://doi.org/10.1007/s10994-006-5833-1).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,742,742,28,References,"Russell, B. (1910–11). “Knowledge by Acquaintance and Knowledge by Description.” Proceedings of the Aristotelian Society, 11, 108–128.",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,744,744,28,References,"Russell, B. (1912). The Problems of Philosophy. Williams and Norgate.",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,746,746,28,References,"Ryle, G. (1949). The Concept of Mind. Hutchinson.",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,748,748,28,References,"Williamson, T. (2000). Knowledge and Its Limits. Oxford University Press.",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,750,750,28,References,"W3C (2012). OWL 2 Web Ontology Language Document Overview, Second Edition. W3C Recommendation. [Specification](https://www.w3.org/TR/owl2-overview/).",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,reference_entry,752,752,28,References,W3C (2014). RDF 1.1 Concepts and Abstract Syntax. W3C Recommendation. [Specification](https://www.w3.org/TR/rdf11-concepts/).,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,60,60,6,2. The first correction: there is no simple historical definition to inherit,Ichikawa and Steup 2026,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,72,72,6,2.1 The Gettier rupture,Gettier 1963,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,98,98,7,2.3 Knowledge may be primitive without being unstructured,Williamson 2000; Ichikawa and Steup 2026,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,127,127,8,3.2 Practical knowledge: knowing how,Ryle 1949; Pavese 2022,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,143,143,9,3.3 Knowledge by acquaintance or familiarity,"Russell 1910–11, 1912",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,216,216,11,5.1 Epistemic modal logic,"Rendsvig, Symons, and Wang 2025",00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,228,228,11,5.3 Semantic networks and frames,Quillian 1968; Minsky 1974/1975,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,234,234,12,5.4 Description logics and OWL,W3C 2012,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,240,240,12,5.5 Ontologies and knowledge graphs,W3C 2014,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,240,240,12,5.5 Ontologies and knowledge graphs,Hogan et al. 2021,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,253,253,12,5.6 Probabilistic representations,Richardson and Domingos 2006,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,inline_citation,259,259,12,5.7 Neural representations,Petroni et al. 2019,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,markdown_link,718,718,28,References,Publisher record -> https://books.google.com/books?id=riSeOKw5I6sC,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,markdown_link,720,720,28,References,Publisher sample chapter -> https://booksite.elsevier.com/samplechapters/9781558609327/9781558609327.PDF,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,markdown_link,722,722,28,References,Stable entry -> https://plato.stanford.edu/archives/fall2022/entries/knowledge-how/,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
