source,identifier,verification_authority,result,v0.2_action
Aristotle — Nicomachean Ethics Book II,Perseus:text:1999.01.0054,Perseus Digital Library,"Linked edition and Book II habituation context verified; used only as historical philosophical context",RETAIN_QUALIFIED
Delors et al. (1996),UNESCO ark:/48223/pf0000109590,UNESCO Digital Library,"Authoring commission, title, 1996 publication and four-pillar context verified",RETAIN_QUALIFIED
Dewey (1916),Project Gutenberg 852,Project Gutenberg public-domain edition,"Author, title, original 1916 publication and education/associated-life inquiry verified",RETAIN_QUALIFIED
Dewey (1922),Project Gutenberg 41386,Project Gutenberg public-domain edition,"Author, title, original 1922 publication and habit/social-environment context verified",RETAIN_QUALIFIED
Durlak et al. (2011),10.1111/j.1467-8624.2010.01564.x,Wiley/DOI,"Authors, title, Child Development 82(1), pages 405–432, 213-program school-based SEL meta-analysis and bounded empirical scope verified",RETAIN_QUALIFIED
Fesmire (2024),SEP Dewey entry,Stanford Encyclopedia of Philosophy,"Author, 2024 substantive revision and Dewey habit/education interpretive context verified",RETAIN_QUALIFIED
Freire (1970/2000),ISBN 0826412769,Continuum edition/bibliographic record,"Author, title, original/30th-anniversary lineage and Continuum 2000 edition verified; retained as power/dialogue inquiry rather than semantic authority",RETAIN_QUALIFIED
Kohlberg (1981),The Philosophy of Moral Development,Harper & Row bibliographic record,"Author, title, 1981 publication and moral-development theory context verified; no universal stage model adopted",RETAIN_QUALIFIED
Lave and Wenger (1991),10.1017/CBO9780511815355,Cambridge University Press/DOI,"Authors, title and situated-learning/legitimate-peripheral-participation scope verified",RETAIN_QUALIFIED
Mezirow (1991),Transformative Dimensions of Adult Learning,Wiley/Jossey-Bass catalogue,"Author, title, first-edition year and transformative adult-learning scope verified; critical-reflection claims remain theory-specific",RETAIN_QUALIFIED
OECD (2024),10.1787/32b647d0-en,OECD Publishing/DOI,"Title, year, publisher and international social-and-emotional-learning report scope verified",RETAIN_QUALIFIED
Phillips Siegel and Callan (2024),SEP Philosophy of Education entry,Stanford Encyclopedia of Philosophy,"Authors, substantive revision lineage and philosophy-of-education survey scope verified",RETAIN_QUALIFIED
Ryle (1949),The Concept of Mind,Hutchinson first-edition bibliographic record,"Author, title, publisher, year and disposition/knowing-how context verified; not used as a SymK definition source",RETAIN_QUALIFIED
Schön (1983),ISBN 046506874X,Basic Books publisher/library catalogue,"Author, full title, Basic Books 1983 publication and reflection-in-action scope verified",RETAIN_QUALIFIED
Vygotsky (1978),ISBN 0674576292,Harvard University Press/library catalogue,"Author/editor, title, Harvard University Press 1978 publication and sociocultural-development scope verified",RETAIN_QUALIFIED
Wenger (1998),10.1017/CBO9780511803932,Cambridge University Press/DOI,"Author, title, 1998 first-publication lineage and social-learning/community-of-practice scope verified",RETAIN_QUALIFIED
