source_id,path,sha256,artifact_class,declared_status,current_authority,preopening_route
CS-001,00_GOVERNANCE/02_Axioms/Constitution_vNext/README.md,15eff41fa5170571595ba7905e944507b39224d389af2472d67a3182d4e0c82a,package orientation,canonical review structure,structural location only,"refresh after accepted 2.1; preserve Proposed contents"
CS-002,00_GOVERNANCE/02_Axioms/Constitution_vNext/CANONICAL_BASELINE.md,6e9b6657847edf5ec3ec2afcfdb8cbde00a20b2f2a40d3ca5b332899a58a5bcf,working-baseline notice,canonical package notice,structural and interpretation control,"update source state only after formal 2.2 opening"
CS-003,00_GOVERNANCE/02_Axioms/Constitution_vNext/00A_CONSTITUTIONAL_SOURCES.md,06cf96e9654ca8a78d502dfc67a6b981dfa90e51cb7caf8d096ceecbdf352dd8,source map,Proposed,no normative force,"rebuild proposition-level lineage against DR-009–018 and Human-reviewed v0.2"
CS-004,00_GOVERNANCE/02_Axioms/Constitution_vNext/00B_AXIOM_DOCUMENT_STANDARD.md,4936f45c3c3b38352462698a7d86c107bacfd4e3a98e72ec7d25a742b4f710ac,axiom document standard,Proposed scaffold standard,no constitutional force,"test and accept/revise admission anatomy before Candidate promotion"
CS-005,00_GOVERNANCE/02_Axioms/Constitution_vNext/00_CONSTITUTION_CANDIDATE.md,da0095cc097408c7419ad82b5f08cd66fdfb20aea453a5de0e0e93abe5d6f880,constitutional umbrella,Proposed and unratified,deliberative only,"preserve compatible purpose/scope; reconstruct stale axiom summaries"
CS-006,00_GOVERNANCE/02_Axioms/Constitution_vNext/01_AXIOM_INDEX.md,1ad34f0097786473f1a8ac66ca750e0b41e171171a56385d60419a42ec3d53ae,axiom index,Proposed inventory,none beyond declared status,"apply necessity independence class and minimal-set decisions"
CS-007,00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A0_Cooperative_Purpose.md,a0a33f289581a4b0e7b26effce3d05e3e47a844382104a14e1991421ae17afdb,axiom exposition,Proposed and unratified,deliberative only,"substantive reconstruction or replacement; cooperation cannot be final objective"
CS-008,00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A1_Epistemic_Humility.md,8abda500b1e023b7304273824256e17f28dcff1293f83609082a2eec2a4c50f4,axiom exposition,Proposed and unratified,deliberative only,"refresh sources and test independence/minimality against A4"
CS-009,00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A2_Governed_Role_Allocation.md,ecce00a5b8ab2054ce8c0afcf33542b74a30249ebaedc79aee5359dd75a40db2,axiom exposition,Proposed and unratified,deliberative only,"decompose role Authority Authorization Responsibility and standing"
CS-010,00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A3_Cooperative_Formation.md,a8dfbb8ab015c18c49a8a9ad8bc749bbc6b6520e1199c26c2f8668861e47a09d,axiom exposition,Proposed and unratified,deliberative only,"remove universal Education/Training necessity; test narrower Formation route"
