paper,claim_id,claim_type,markdown_line_start,markdown_line_end,pdf_page,enclosing_section,claim_or_review_unit,review_owner,disposition
Knowledge,K-CLM-0001,section_claim_cluster,26,51,5,1. Why knowledge is foundational to SymK,1. Why knowledge is foundational to SymK,Stream B,unreviewed
Knowledge,K-CLM-0002,section_claim_cluster,52,110,6,2. The first correction: there is no simple historical definition to inherit,2. The first correction: there is no simple historical definition to inherit,Stream B,unreviewed
Knowledge,K-CLM-0003,section_claim_cluster,70,79,6,2.1 The Gettier rupture,2.1 The Gettier rupture,Stream B,unreviewed
Knowledge,K-CLM-0004,section_claim_cluster,80,95,6,2.2 Families of post-Gettier responses,2.2 Families of post-Gettier responses,Stream B,unreviewed
Knowledge,K-CLM-0005,section_claim_cluster,96,110,7,2.3 Knowledge may be primitive without being unstructured,2.3 Knowledge may be primitive without being unstructured,Stream B,unreviewed
Knowledge,K-CLM-0006,section_claim_cluster,111,158,8,3. Knowledge is not only “knowing that”,3. Knowledge is not only “knowing that”,Stream B,unreviewed
Knowledge,K-CLM-0007,section_claim_cluster,115,124,8,3.1 Propositional knowledge: knowing that,3.1 Propositional knowledge: knowing that,Stream B,unreviewed
Knowledge,K-CLM-0008,section_claim_cluster,125,140,8,3.2 Practical knowledge: knowing how,3.2 Practical knowledge: knowing how,Stream B,unreviewed
Knowledge,K-CLM-0009,section_claim_cluster,141,146,9,3.3 Knowledge by acquaintance or familiarity,3.3 Knowledge by acquaintance or familiarity,Stream B,unreviewed
Knowledge,K-CLM-0010,section_claim_cluster,147,158,9,3.4 A plural foundation,3.4 A plural foundation,Stream B,unreviewed
Knowledge,K-CLM-0011,section_claim_cluster,159,202,10,4. Epistemology and knowledge representation ask different questions,4. Epistemology and knowledge representation ask different questions,Stream B,unreviewed
Knowledge,K-CLM-0012,section_claim_cluster,203,282,11,5. What the major formalisms actually provide,5. What the major formalisms actually provide,Stream B,unreviewed
Knowledge,K-CLM-0013,section_claim_cluster,207,219,11,5.1 Epistemic modal logic,5.1 Epistemic modal logic,Stream B,unreviewed
Knowledge,K-CLM-0014,section_claim_cluster,220,225,11,5.2 First-order logic and Horn rules,5.2 First-order logic and Horn rules,Stream B,unreviewed
Knowledge,K-CLM-0015,section_claim_cluster,226,231,11,5.3 Semantic networks and frames,5.3 Semantic networks and frames,Stream B,unreviewed
Knowledge,K-CLM-0016,section_claim_cluster,232,237,12,5.4 Description logics and OWL,5.4 Description logics and OWL,Stream B,unreviewed
Knowledge,K-CLM-0017,section_claim_cluster,238,250,12,5.5 Ontologies and knowledge graphs,5.5 Ontologies and knowledge graphs,Stream B,unreviewed
Knowledge,K-CLM-0018,section_claim_cluster,251,256,12,5.6 Probabilistic representations,5.6 Probabilistic representations,Stream B,unreviewed
Knowledge,K-CLM-0019,section_claim_cluster,257,262,12,5.7 Neural representations,5.7 Neural representations,Stream B,unreviewed
Knowledge,K-CLM-0020,section_claim_cluster,263,282,13,5.8 Comparative view,5.8 Comparative view,Stream B,unreviewed
